Gene	p_val_adj	avg_logFC	avg_norm_exp	sample_freq	samples	GO_surface	CSPA_category	HPA_Reliability	GTEX_FDR	HPA_RNA_FDR	HPA_Protein_FDR
MZB1	4.34552448732401e-118	87.1302762115634	20.4399741619931	1	81012_1/MMY21940	Non-surface	NA	NA	1.6240e-12	0.00000024167	1.25675564692485e-06
FCRL5	9.26138465036101e-106	0.972506151035043	0.7273247725132	1	81012_1/MMY21940	Surface	1_-_high_confidence	NA	1.6242e-12	0.000026034	NA
IGHA1	2.13448123690891e-93	Inf	236.449589962064	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
IGHG2	9.30430539986103e-28	Inf	105.590841333898	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
IGHG1	3.99005102119975e-13	302.499007446415	89.8099415836365	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
SSR4	1.0326567548023e-104	102.155609569508	27.5754249444785	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.0180572618491402
B2M	8.59299064186664e-13	101.559412579039	44.7960698576749	1	81012_1/MMY21940	Surface	NA	Enhanced	1.6244e-12	NA	0.00140736747236795
PPIB	9.09613593108877e-80	7.95526385503223	3.96989742570493	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
IGHA2	2.51448793176076e-70	32.9618689991766	4.09438865892967	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
HSPA5	3.87034479869502e-66	31.2093052882255	1.89928362181454	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	FALSE
HSP90B1	1.14075221723764e-89	25.0345506208203	5.92796251328627	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	0.000126317476495738
HERPUD1	4.94083228650084e-103	22.8496741830524	4.54134513182568	1	81012_1/MMY21940	Non-surface	NA	Uncertain	FALSE	NA	FALSE
CCND1	1.8189903181983e-219	17.7841641076655	3.24826306374815	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SLC3A2	7.93285867829763e-25	15.8343831847344	0.742138419128767	1	81012_1/MMY21940	Surface	NA	Supported	FALSE	NA	FALSE
FKBP2	4.51135868137639e-122	15.5247163241654	2.88239602146542	1	81012_1/MMY21940	Non-surface	NA	Approved	FALSE	NA	FALSE
SPCS2	7.4730615331075e-86	11.8606508565935	3.452407082552	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000570436602594775
FKBP11	3.50015089721701e-118	11.4550207987224	2.33656596469094	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SEC11C	1.18788938043477e-166	10.4217440400509	2.6563199419293	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.0117652287114598
KRTCAP2	1.08548013245279e-10	10.2256899481744	2.96459372110507	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	NA
PRDX4	7.18467022495174e-181	8.20309697764412	2.59362604885889	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SPCS3	2.46899260001819e-46	5.06617479466501	1.74482375714002	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
DERL3	2.37314175506308e-216	7.81568188608454	2.61321410979857	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.00346227412180615
