  ----------------------------------------------------------------------------
  GENE           TISSUE          P-VALUE        FDR            FOLD DIFFERENCE
  ----------------------------------------------------------------------------
  ATF5           Liver           1.6244e-12     1.6731e-10     42.8995
  B2M            lymphocytes     1.6244e-12     1.6731e-10     3.63895
  CALR           Fibroblast      1.6242e-12     1.6729e-10     4.86706
  CALR           Thyroid         1.6248e-12     1.6735e-10     3.61662
  CCND1          Fibroblast      1.6251e-12     1.6739e-10     4.69914
  CCPG1          Artery          1.6244e-12     1.6731e-10     2.22591
  CNPY2          Pituitary       1.6246e-12     1.6733e-10     2.59587
  COPE           Testis          1.6245e-12     1.6732e-10     2.40121
  CREB3L2        Thyroid         1.6246e-12     1.6733e-10     3.15184
  CUTA           Pituitary       1.6246e-12     1.6733e-10     2.84734
  DDOST          Fibroblast      1.6245e-12     1.6732e-10     3.33876
  DERL3          Spleen          1.6235e-12     1.6722e-10     7.96009
  DERL3          Intestine       1.6250e-12     1.6738e-10     5.91289
  DERL3          Salivary        1.6252e-12     1.6740e-10     5.72172
  DNAJB11        Thyroid         1.6240e-12     1.6727e-10     2.34643
  DNAJB11        Fibroblast      1.6249e-12     1.6736e-10     2.11771
  DNAJB9         Pituitary       1.6245e-12     1.6732e-10     3.03012
  DPM3           Pituitary       1.6244e-12     1.6731e-10     2.14531
  ERLEC1         Pituitary       1.6249e-12     1.6736e-10     2.30123
  FCRL5          Spleen          1.6242e-12     1.6729e-10     27.4344
  FCRL5          lymphocytes     1.6242e-12     1.6729e-10     48.6938
  FKBP11         Pancreas        1.6246e-12     1.6733e-10     4.66385
  FKBP11         Spleen          1.6249e-12     1.6736e-10     3.97121
  FKBP2          Thyroid         1.6244e-12     1.6731e-10     2.47954
  FKBP2          Pituitary       1.6245e-12     1.6732e-10     2.83137
  HM13           Fibroblast      1.6244e-12     1.6731e-10     2.61204
  HSP90B1        Thyroid         1.6245e-12     1.6732e-10     4.06526
  HSP90B1        Fibroblast      1.6253e-12     1.6741e-10     2.84389
  HSPA5          Thyroid         1.6235e-12     1.6722e-10     2.60570
  HSPA5          Fibroblast      1.6237e-12     1.6724e-10     3.40623
  IGHA1          Spleen          1.6231e-12     1.6718e-10     12.9495
  IGHA1          Salivary        1.6236e-12     1.6723e-10     16.5248
  IGHA2          Colon           1.6240e-12     1.6727e-10     20.5275
