GENE	GENE_SYMBOL	EXP_LEVEL	GENERAL_TISSUE_TYPE
ENSG00000180879	SSR4	3	BM_and_lymphoid_tissues
ENSG00000180879	SSR4	3	Brain
ENSG00000180879	SSR4	3	Female_tissues
ENSG00000180879	SSR4	3	Gastrointestinal_tract
ENSG00000180879	SSR4	3	Male_tissues
ENSG00000180879	SSR4	3	Pancreas
ENSG00000180879	SSR4	3	Proximal digestive tract
ENSG00000166710	B2M	3	BM_and_lymphoid_tissues
ENSG00000166710	B2M	3	Lung
ENSG00000170476	MZB1	2	BM_and_lymphoid_tissues
ENSG00000044574	HSPA5	3	Brain
ENSG00000044574	HSPA5	3	Endocrine_tissues
ENSG00000044574	HSPA5	3	Female_tissues
ENSG00000044574	HSPA5	3	Male_tissues
ENSG00000166598	HSP90B1	3	BM_and_lymphoid_tissues
ENSG00000166598	HSP90B1	3	Brain
ENSG00000166598	HSP90B1	3	Endocrine_tissues
ENSG00000166598	HSP90B1	3	Female_tissues
ENSG00000166598	HSP90B1	3	Gastrointestinal_tract
ENSG00000166598	HSP90B1	3	Kidney_and_urinary bladder
ENSG00000166598	HSP90B1	3	Liver_and_gallbladder
ENSG00000166598	HSP90B1	3	Lung
ENSG00000166598	HSP90B1	3	Male_tissues
ENSG00000166598	HSP90B1	3	Pancreas
ENSG00000166598	HSP90B1	3	Skin
ENSG00000051108	HERPUD1	3	Endocrine_tissues
ENSG00000110092	CCND1	2	Female_tissues
ENSG00000110092	CCND1	2	Gastrointestinal_tract
ENSG00000110092	CCND1	2	Liver_and_gallbladder
ENSG00000110092	CCND1	2	Male_tissues
ENSG00000110092	CCND1	2	Proximal digestive tract
ENSG00000118363	SPCS2	3	BM_and_lymphoid_tissues
ENSG00000118363	SPCS2	3	Brain
ENSG00000118363	SPCS2	3	Endocrine_tissues
ENSG00000118363	SPCS2	3	Female_tissues
ENSG00000118363	SPCS2	3	Gastrointestinal_tract
ENSG00000118363	SPCS2	3	Lung
ENSG00000118363	SPCS2	3	Male_tissues
ENSG00000118363	SPCS2	3	Muscle_tissues
ENSG00000118363	SPCS2	3	Pancreas
ENSG00000118363	SPCS2	3	Proximal digestive tract
ENSG00000134285	FKBP11	3	Adipose_and_soft_tissue
ENSG00000134285	FKBP11	3	Gastrointestinal_tract
ENSG00000134285	FKBP11	3	Male_tissues
ENSG00000134285	FKBP11	3	Pancreas
ENSG00000134285	FKBP11	3	Proximal digestive tract
ENSG00000166562	SEC11C	2	BM_and_lymphoid_tissues
ENSG00000123131	PRDX4	3	Adipose_and_soft_tissue
ENSG00000123131	PRDX4	3	Male_tissues
ENSG00000123131	PRDX4	3	Pancreas
ENSG00000166794	PPIB	3	Endocrine_tissues
ENSG00000166794	PPIB	3	Female_tissues
ENSG00000166794	PPIB	3	Male_tissues
ENSG00000099958	DERL3	3	BM_and_lymphoid_tissues
ENSG00000099958	DERL3	3	Endocrine_tissues
ENSG00000099958	DERL3	3	Female_tissues
ENSG00000099958	DERL3	3	Gastrointestinal_tract
ENSG00000099958	DERL3	3	Kidney_and_urinary bladder
ENSG00000099958	DERL3	3	Liver_and_gallbladder
ENSG00000099958	DERL3	3	Lung
ENSG00000099958	DERL3	3	Male_tissues
ENSG00000134825	TMEM258	3	BM_and_lymphoid_tissues
ENSG00000134825	TMEM258	3	Brain
ENSG00000134825	TMEM258	3	Endocrine_tissues
ENSG00000134825	TMEM258	3	Female_tissues
ENSG00000134825	TMEM258	3	Male_tissues
ENSG00000114850	SSR3	3	Adipose_and_soft_tissue
ENSG00000114850	SSR3	3	BM_and_lymphoid_tissues
ENSG00000114850	SSR3	3	Brain
ENSG00000114850	SSR3	3	Endocrine_tissues
ENSG00000114850	SSR3	3	Female_tissues
