  ----------------------------------------------------------------------------
  GENE           TISSUE               P-VALUE        FDR            EXPRESSION
  ----------------------------------------------------------------------------
  ATF5           liver                0.00000        0.00000        470.7
  FKBP11         pancreas             0.00000        0.00000        175.6
  JSRP1          skeletal muscle      0.00000        0.00000        92.0
  PRDX4          pancreas             0.00000        0.00000        320.8
  SEL1L          pancreas             0.00000        0.00000        121.3
  SPAG4          pancreas             0.00000        0.00000        54.3
  SSR4           pancreas             0.00000        0.00000        699.0
  P4HB           pancreas             0.00000000000  0.00000000000  677.5
  XBP1           pancreas             0.00000000000  0.00000000000  321.9
  LY96           granulocytes         0.00000000000  0.00000000000  92.6
  MTDH           liver                0.00000000000  0.00000000000  97.8
  PDIA4          liver                0.00000000000  0.00000000010  164.3
  CREB3L2        placenta             0.00000000000  0.00000000238  81.6
  KDELR2         liver                0.00000000004  0.00000001465  158.4
  SLC3A2         parathyroid gland    0.00000000005  0.00000001613  138.6
  ZNF593         skeletal muscle      0.00000000011  0.00000003327  59.3
  SPCS3          pancreas             0.00000000013  0.00000003817  85.0
  CALR           liver                0.00000000059  0.00000016067  302.6
  MZB1           thymus               0.00000000094  0.00000024167  152.6
  SSR3           pancreas             0.00000000108  0.00000026221  153.1
  HSPA5          thyroid gland        0.00000000239  0.00000055266  219.3
  DNAJB11        liver                0.00000000254  0.00000055911  83.5
  PHPT1          skeletal muscle      0.00000000460  0.00000096737  86.0
  TMBIM6         liver                0.00000001066  0.0000021496   245.5
  DDOST          pancreas             0.00000001517  0.0000029356   146.9
  HSP90B1        thyroid gland        0.00000001894  0.0000035241   338.5
  SEC11C         salivary gland       0.00000001933  0.0000035241   132.6
  CISD2          liver                0.00000002004  0.0000035241   40.5
  PSAT1          liver                0.00000003574  0.0000059600   112.2
  ATF4           salivary gland       0.00000004354  0.0000070198   241.8
  PPIB           liver                0.00000004395  0.0000070198   285.9
  HSP90B1        liver                0.00000011913  0.000018004    325.1
  TMED9          pancreas             0.00000013055  0.000019132    134.5
  SIL1           pancreas             0.00000014350  0.000020411    64.3
  TMEM205        liver                0.00000016115  0.000022266    90.8
  FCRL5          tonsil               0.00000019380  0.000026034    39.1
  TMED2          pancreas             0.00000020069  0.000026231    135.4
  HERPUD1        pancreas             0.00000027677  0.000035223    148.6
  UQCRQ          skeletal muscle      0.00000046248  0.000057348    174.9
  TRAM1          liver                0.00000049768  0.000060170    123.7
  PDIA6          pancreas             0.00000053472  0.000063071    141.6
  DERL3          pancreas             0.00000082126  0.000094562    80.8
  SSR2           pancreas             0.00000093981  0.00010570     168.9
  MYDGF          pancreas             0.0000014801   0.00016268     115.5
  CCND1          parathyroid gland    0.0000020476   0.00022005     83.2
  HM13           salivary gland       0.0000022175   0.00023313     149.6
