p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene_symbol	sample_id	avg_norm_exp
81012_1.IGLC3	0	33.3277465224721	0.959	0.065	0	IGLC3	81012_1	14.5670103092784
81012_1.IGLVI-70	0	8.4490129841536	0.809	0.02	0	IGLVI-70	81012_1	2.5979381443299
81012_1.IGHG4	0	6.6956886873342	0.742	0.019	0	IGHG4	81012_1	2.1701030927835
81012_1.IGHG3	1.05859197255004e-303	7.27094920724867	0.851	0.041	3.56681979231011e-299	IGHG3	81012_1	3.43814432989691
81012_1.BGLAP	8.14544634702044e-252	89.2587145606385	0.68	0.027	2.74452669216507e-247	BGLAP	81012_1	5.20618556701031
81012_1.WFDC2	1.51376745246699e-230	38.5866379324108	0.773	0.054	5.10048805434227e-226	WFDC2	81012_1	3.57731958762887
81012_1.CCND1	1.07971171021446e-223	11.8189770527267	0.608	0.024	3.63798063639659e-219	CCND1	81012_1	1.94329896907216
81012_1.JSRP1	6.27732007561237e-221	1.42029647580825	0.474	0.007	2.11508022627683e-216	JSRP1	81012_1	0.695876288659794
81012_1.DERL3	1.40864353004278e-220	10.231658011249	0.825	0.077	4.74628351012615e-216	DERL3	81012_1	4.21134020618557
81012_1.TNFRSF17	1.15215510570915e-207	3.31034125342634	0.552	0.019	3.88207141317641e-203	TNFRSF17	81012_1	1.05670103092784
81012_1.SPAG4	1.42083747788503e-207	1.90056771488544	0.51	0.013	4.78736979798583e-203	SPAG4	81012_1	0.829896907216495
81012_1.ACY3	4.71586328997054e-195	6.32943497238146	0.557	0.024	1.58896297692267e-190	ACY3	81012_1	1.51030927835052
81012_1.ATF5	3.44570238880255e-194	4.79922314160155	0.691	0.051	1.16099496288313e-189	ATF5	81012_1	1.84020618556701
81012_1.ASS1	6.79697101079002e-189	3.39029812370726	0.603	0.034	2.29017141237559e-184	ASS1	81012_1	1.32989690721649
