p_val	avg_logFC	pct.1	pct.2	p_val_adj	sample_id	cell_type	gene_symbol
81012_1.CD4+T.IGLC3	3.36248360225192e-242	35.6365042808788	0.959	0.052	1.13295522494276e-237	81012_1	CD4+T	IGLC3
81012_1.CD4+T.IGLVI-70	4.74011857469521e-225	8.44772015427603	0.809	0.021	1.5971355525578e-220	81012_1	CD4+T	IGLVI-70
81012_1.CD4+T.IGHG3	9.36681339775853e-212	7.27370088254584	0.851	0.041	3.15605410624076e-207	81012_1	CD4+T	IGHG3
81012_1.CD4+T.IGHG4	3.91333691790838e-209	6.72314058705924	0.742	0.016	1.31855974112005e-204	81012_1	CD4+T	IGHG4
81012_1.CD4+T.DERL3	6.22846024804963e-172	10.2387534792682	0.825	0.071	2.09861739597784e-167	81012_1	CD4+T	DERL3
81012_1.CD4+T.BGLAP	1.53638314160043e-170	88.776777600486	0.68	0.027	5.17668935730848e-166	81012_1	CD4+T	BGLAP
81012_1.CD4+T.WFDC2	2.33278947840854e-169	38.5479884699844	0.773	0.053	7.86010086854972e-165	81012_1	CD4+T	WFDC2
81012_1.CD4+T.CCND1	2.10634183847674e-156	11.8206257404635	0.608	0.019	7.09710819056352e-152	81012_1	CD4+T	CCND1
81012_1.CD4+T.PRDX4	7.45981800585922e-153	10.9688783390596	0.881	0.127	2.51351107889421e-148	81012_1	CD4+T	PRDX4
81012_1.CD4+T.ATF5	7.05555665818486e-148	4.81013590679513	0.691	0.046	2.37729926040881e-143	81012_1	CD4+T	ATF5
81012_1.CD4+T.RP5-887A10.1	4.88787516784044e-147	8.1314862173864	0.608	0.025	1.64692065905216e-142	81012_1	CD4+T	RP5-887A10.1
81012_1.CD4+T.SEC11C	1.28476910485774e-146	10.8254171402464	0.871	0.125	4.32890102190769e-142	81012_1	CD4+T	SEC11C
81012_1.CD4+T.ASS1	1.24201286574776e-141	3.40202253417449	0.603	0.027	4.18483814985051e-137	81012_1	CD4+T	ASS1
81012_1.CD4+T.JSRP1	3.34969155438404e-137	1.42257012525098	0.474	0.005	1.12864507233416e-132	81012_1	CD4+T	JSRP1
81012_1.CD4+T.TNFRSF17	1.61236890510323e-135	3.30742144369085	0.552	0.02	5.43271578885482e-131	81012_1	CD4+T	TNFRSF17
81012_1.CD4+T.ACY3	1.7365923049414e-133	6.33121417683391	0.557	0.023	5.85127411226954e-129	81012_1	CD4+T	ACY3
81012_1.CD4+T.CD63	4.26551421615539e-133	11.5052259363202	0.871	0.153	1.4372223599914e-128	81012_1	CD4+T	CD63
81012_1.CD4+T.SPAG4	9.81231202451067e-132	1.89950936162332	0.51	0.014	3.30616041353863e-127	81012_1	CD4+T	SPAG4
81012_1.CD4+T.PDIA6	1.92691783914607e-131	6.82478497420097	0.804	0.111	6.49255696721877e-127	81012_1	CD4+T	PDIA6
81012_1.CD4+T.LGALS1	6.88163019571321e-130	15.9864841712941	0.918	0.215	2.31869647814361e-125	81012_1	CD4+T	LGALS1
81012_1.CD4+T.P4HA1	2.09127475347308e-127	5.90505513518991	0.629	0.045	7.0463411543522e-123	81012_1	CD4+T	P4HA1
81012_1.CD4+T.HERPUD1	2.0523883620656e-123	19.7484086084188	0.881	0.182	6.91531734714382e-119	81012_1	CD4+T	HERPUD1
81012_1.CD4+T.FKBP2	8.80672437668031e-123	22.4651781811147	0.814	0.138	2.96733771147866e-118	81012_1	CD4+T	FKBP2
81012_1.CD4+T.SSR3	1.12323237895288e-119	10.2424094633585	0.835	0.16	3.78461917764382e-115	81012_1	CD4+T	SSR3
81012_1.CD4+T.MZB1	4.42218098822664e-115	147.937777017345	0.979	0.513	1.49000966217308e-110	81012_1	CD4+T	MZB1
81012_1.CD4+T.PHGDH	1.35198916187516e-114	1.98516316951376	0.505	0.024	4.55539228202218e-110	81012_1	CD4+T	PHGDH
81012_1.CD4+T.PDIA4	2.32793622716022e-112	10.5680992488255	0.737	0.111	7.84374832379364e-108	81012_1	CD4+T	PDIA4
81012_1.CD4+T.UBE2J1	7.62041558205426e-112	3.14364017425378	0.577	0.045	2.56762282621736e-107	81012_1	CD4+T	UBE2J1
81012_1.CD4+T.IGLV5-37	2.29080104237541e-110	116.070622249642	0.974	0.597	7.71862503217972e-106	81012_1	CD4+T	IGLV5-37
81012_1.CD4+T.TIMP1	4.92802802342942e-110	11.1482991078265	0.892	0.238	1.66044976221431e-105	81012_1	CD4+T	TIMP1
81012_1.CD4+T.ITM2C	3.39897716522447e-109	10.5421157889359	0.691	0.091	1.14525136605073e-104	81012_1	CD4+T	ITM2C
81012_1.CD4+T.SDF2L1	9.50502436775716e-108	4.71184783309561	0.624	0.065	3.2026229104721e-103	81012_1	CD4+T	SDF2L1
